time_slot,qubits_active,eprs_active,qubits_created,qubits_used,eprs_created,eprs_used,rules_active
0,60,85,60,0,85,0,0
1,60,85,60,0,85,0,0
2,60,85,60,0,85,0,0
3,60,80,60,0,90,10,1
4,60,80,60,0,90,10,1
5,60,80,60,0,90,10,1
6,60,80,60,0,90,10,2
7,60,80,60,0,90,10,2
8,60,80,60,0,90,10,2
9,60,79,60,0,90,10,3
10,90,132,120,0,180,10,3
11,75,113,120,0,180,10,3
12,67,96,120,0,185,20,4
13,63,90,120,0,185,20,4
14,61,87,120,0,185,20,4
15,60,81,120,0,190,30,5
16,60,80,120,0,190,30,5
17,60,80,120,0,190,30,5
18,60,80,120,0,190,30,5
19,60,80,120,0,190,30,5
20,90,140,180,0,295,40,5
21,75,118,180,0,295,40,5
22,68,107,180,0,295,40,5
23,64,101,180,0,295,40,5
24,62,98,180,0,295,40,5
25,61,96,180,0,295,40,5
26,60,95,180,0,295,40,5
27,60,94,180,0,296,42,6
28,60,93,180,0,297,44,6
29,60,91,180,0,298,46,6
30,90,150,240,0,404,48,6
31,75,126,240,0,405,50,6
32,68,114,240,0,406,52,6
33,64,107,240,0,407,54,6
34,62,103,240,0,408,56,6
35,61,101,240,0,409,58,6
36,60,100,240,0,409,58,6
37,60,100,240,0,409,58,6
38,60,100,240,0,409,58,6
39,60,99,240,0,409,58,7
40,90,157,300,0,514,58,7
41,75,132,300,0,514,58,7
42,67,118,300,0,514,58,8
43,63,111,300,0,514,58,8
44,61,107,300,0,514,58,8
45,60,103,300,0,516,62,9
46,60,101,300,0,518,66,9
47,60,101,300,0,518,66,9
48,60,100,300,0,518,66,9
49,60,100,300,0,518,66,9
50,90,159,360,0,630,70,9
51,75,132,360,0,632,74,9
52,68,119,360,0,633,76,9
53,64,113,360,0,633,76,9
54,62,110,360,0,633,76,9
55,61,108,360,0,633,76,9
56,60,107,360,0,633,76,9
57,60,100,360,0,638,86,10
58,60,100,360,0,638,86,10
59,60,100,360,0,638,86,10
60,90,164,420,0,755,90,11
61,75,136,420,0,757,94,11
62,68,122,420,0,758,96,11
63,64,115,420,0,758,96,11
64,62,111,420,0,758,96,11
65,61,109,420,0,758,96,11
66,60,108,420,0,758,96,11
67,60,108,420,0,758,96,11
68,60,108,420,0,758,96,11
69,60,108,420,0,758,96,11
70,90,174,480,0,878,96,11
71,75,147,480,0,878,96,11
72,68,130,480,0,881,102,12
73,64,120,480,0,884,108,12
74,62,116,480,0,884,108,12
75,61,113,480,0,884,108,12
76,60,111,480,0,884,108,12
77,60,110,480,0,884,108,12
78,60,110,480,0,884,108,11
79,60,110,480,0,884,108,11
80,90,176,540,0,1012,114,11
81,75,146,540,0,1014,118,11
82,67,132,540,0,1014,118,10
83,63,125,540,0,1014,118,10
84,61,118,540,0,1016,122,11
85,60,113,540,0,1018,126,10
86,60,110,540,0,1019,128,10
87,60,109,540,0,1019,128,10
88,60,108,540,0,1019,128,9
89,60,108,540,0,1019,128,9
90,90,182,600,0,1151,132,9
91,75,152,600,0,1153,136,8
92,68,136,600,0,1154,138,8
93,64,128,600,0,1154,138,8
94,62,124,600,0,1154,138,8
95,61,122,600,0,1154,138,8
96,60,119,600,0,1156,142,9
97,60,117,600,0,1158,146,9
98,60,116,600,0,1159,148,9
99,60,115,600,0,1159,148,9
100,90,192,660,0,1296,152,9
101,75,161,660,0,1298,156,9
102,68,146,660,0,1299,158,9
103,64,138,660,0,1299,158,8
104,62,134,660,0,1299,158,8
105,61,132,660,0,1299,158,8
106,60,131,660,0,1299,158,8
107,60,130,660,0,1299,158,8
108,60,130,660,0,1299,158,9
109,60,130,660,0,1299,158,9
110,90,202,720,0,1434,158,9
111,75,163,720,0,1439,168,10
112,68,147,720,0,1439,168,10
113,64,139,720,0,1439,168,10
114,62,133,720,0,1439,168,11
115,61,131,720,0,1439,168,10
116,60,130,720,0,1439,168,10
117,60,124,720,0,1444,178,11
118,60,124,720,0,1444,178,10
119,60,124,720,0,1444,178,10
120,90,201,780,0,1596,192,11
121,75,170,780,0,1596,192,10
122,67,154,780,0,1596,192,10
123,63,145,780,0,1596,192,10
124,61,140,780,0,1596,192,10
125,60,137,780,0,1596,192,10
126,60,136,780,0,1596,192,10
127,60,136,780,0,1596,192,10
128,60,136,780,0,1596,192,10
129,60,136,780,0,1596,192,10
130,90,218,840,0,1746,192,10
131,75,184,840,0,1746,192,10
132,68,166,840,0,1746,192,11
133,64,158,840,0,1746,192,10
134,62,154,840,0,1746,192,10
135,61,151,840,0,1746,192,11
136,60,149,840,0,1746,192,10
137,60,147,840,0,1746,192,10
138,60,146,840,0,1746,192,10
139,60,145,840,0,1746,192,10
140,90,221,900,0,1896,192,10
141,75,184,900,0,1896,192,10
